clf_09334_01278378087	La vigencia de tu tarjeta es de ocho meses
clf_09697_00015596584	Tranquilo va a estar todo bien
clf_09697_01505655474	Me gusta mucho caminar por el campo y tomarle fotos a la naturaleza
clf_05223_01932544320	Está muy cansado
clf_05223_01306330742	Tú sabes si esta persona ha presentado este tipo de obras artísticas en otros países ?
clf_09334_01292771863	Verifique su instalación eléctrica
clf_07508_00333068529	Hay muchas tiendas de ropa en el centro.
clf_07508_01976346265	Últimamente he visto muchas bicicletas rojas.
clf_01523_01971359555	¿Te gusta esquiar?
clf_08784_01033702664	¿Sabes hacer salmón ahumado?
clf_01523_00527666780	Tengo esta imagen en la cabeza que es un mural medio futurista
clf_01523_00730116429	Tengo esta imagen en la cabeza de que es un mural medio cubista
clf_06136_00460588802	Nuria podrías proponerme alguna obra de teatro para esta noche
clf_02484_01477443958	Uf Carla que calor me estoy ahogando
clf_09334_00848514650	Mi hija va a cumplir años en tres días y le estoy buscando un regalo
clf_04310_00660286119	Por las tardes se escucha música en la Plaza.
clf_07508_00901395446	La granizada destruyó toda la plantación de lechuga
clf_08421_01942027502	No se hablar tamil
clf_09697_00864715113	Tengo muchos negativos de treinta y cinco milímetros
clf_04310_00528473547	Jose Luis quisiera comprar dólares
clf_08421_00388834739	Los zapatos se estropearon con la lluvia torrencial de ayer
clf_07049_01518316390	Se rompió la mesa de la cocina y no se como arreglarla
clf_01523_00393444149	Se rompió la silla de la sala y no se como arreglarla
clf_07049_00010659932	Los pasajes cuestan alrededor de veinte euros
clf_06136_00064603381	Estoy buscando un restaurante de cocina tradicional
clf_01523_00603290448	Me preocupa la inminente temporada de huracanes
clf_08784_01976865261	La mejor colección de autómatas Rusos está en Madrid
clf_05223_00386130384	¿Tengo que pasar alguna prueba?
clf_09697_01700234695	La obscuridad del pozo era obscena por naturaleza
clf_09697_00597068361	Hay una revista llamada La Gaceta del Humor que dice que el vuelo iban tres de sus amantes
clf_04310_01762965530	Quiero hacer una compra en línea para ayudar a los damnificados
clf_07049_01102304623	Lo puedes pasar en la tarjeta de American Express
clf_00610_00041705766	Si busca bajar de peso los carbohidratos no son una buena opción
clf_08784_01181008270	Algunos científicos no creen que el hombre llegó a la luna
clf_05223_00525380311	¿Quieren o no quieren comer en casa?
clf_06136_01778437034	¿Hay fútbol femenino en México?
clf_02484_01730427509	Lo del parque me gusto porque hay árboles y ahí me puedo quedar bajo la sombra y me tomo un té frío
clf_09334_00179064735	El jeroglífico tiene un pez amarillo
clf_07049_00579130201	¿Cuánto me demoro de aquí a Santiago en tren?
clf_03397_00856365057	En este momento estoy enviando a sus correos unos links para unas meditaciones en You Tube
clf_06136_01501927969	¿Su gol fue de chilena o fue tiro de esquina?
clf_02484_00024355877	¿En qué calle está la casa?
clf_07508_00694467490	En cada estación de bicicleta insertas tu tarjeta y te indica la bicicleta que puedes usar.
clf_06136_01260328342	La ciudad de Madrid ha cambiado mucho en los últimos años
clf_07049_01236578591	Siempre me ha gustado el color verde esmeralda
clf_07508_01787073206	El tráfico está terrible es imposible llegar a tiempo.
clf_07049_01313924328	Haz la compra por favor y me la mandas a mi casa
clf_07508_00756533165	Las teclas del computador necesitan estar desgastadas para la grabación
clf_08784_00133531365	Te recomiendo que veas las películas de Fellini.
