arf_05679_01463815283	Para la caída del cabello, tengo un nuevo champú
arf_05223_00524892324	Los hámsters comen zanahorias
arf_07973_01243309438	¿Me podés mandar fotos de la pileta?
arf_01208_01272386743	Hola Cristina que bueno que pueda hablar con vos
arf_06136_01580696558	Tranquilo va a estar todo bien
arf_07060_00123224886	No sé hablar tamil
arf_09697_01283063308	El procesador es más lento en una computadora Dell que con una Mac.
arf_00295_01668185466	Adidas sacó una versión especial de zapatillas a las que no les entra el agua
arf_07973_02142093580	La panadería es un arte
arf_02484_00401828693	¿Cuántas medallas ha ganado?
arf_03397_00070708341	Acabo de comprar este control remoto universal, te doy el numero de serie y me ayudás a configurarlo
arf_03349_02080178656	Quisiera reservar dos pasajes por favor pero en primera clase
arf_01523_01434576176	La pronunciación del francés es difícil
arf_08421_01735233203	Ya no aguanto más este frío.
arf_03349_00945859989	Necesito prácticamente un curso express
arf_07505_00773826675	Siqueiros pintó murales en todo el mundo.
arf_02121_00587621030	El pijama de rayas es azul
arf_00610_01250551227	Quiero la cartera para un regalo de cumpleaños para Andrea.
arf_09334_01672452269	¿Conocés los hornos marroquíes para hacer pan?
arf_09799_01449247863	Tiene una película muy famosa que se llama Dos Mil Uno una Odisea del Espacio
arf_02484_01031702658	¿Cuántos deportes se practican en las Olimpíadas y cuántos países participan?
arf_00295_01362792856	Ya llegó el taxi, está acá afuera
arf_08886_00911286541	¿Quién subió el mejor video?
arf_07508_00264979610	¿En qué calle está la casa?
arf_03034_01482687432	¿Fuiste a la Casa de Frida Kahlo?
arf_04766_01800162063	Tengo muchos discos de vinilo
arf_02436_00611339611	Le recomiendo los fiordos noruegos
arf_03034_00669347754	No me gusta comer en un lugar con mucha gente.
arf_07505_01016145215	En Alaska hay muchos animales salvajes.
arf_09334_01344759024	¿Dónde encuentro una farmacia abierta a estas horas?
arf_01523_00157884753	La parte de las cataratas del Niágara que está del lado estadounidense es bastante aburrida
arf_08784_00595465846	¿La casa esta amueblada o no?
arf_02484_01268075048	No tengo ni idea de cómo cambiar una rueda, no sé si pueda pedir asistencia si me puedes ayudar vos
arf_02121_00020869315	Estacione el auto en una zona segura y encienda las luces intermitentes
arf_05679_00640255156	¿Cuántas medallas ha ganado?
arf_06136_01217454403	¿Ve usted la pestaña en la parte superior izquierda que dice buscar?
arf_01523_01285708357	¿En cuántos juegos olímpicos ha participado?
arf_03034_01915631949	¿Cómo va el partido de rugby?
arf_03349_01424879140	¿Quiero saber el origen de la palabra astronauta?
arf_05223_01148309848	¿Cuáles son las principales diferencias?
arf_07508_00098854240	¿Pensaste darles un yogurt con frutas? ¡A los chicos les encanta!
arf_05223_01959225343	La mermelada de zarzamora es muy fácil de hacer
arf_05223_00377191809	Es muy importante el apoyo nasal en la pronunciación
arf_00295_01675776066	Tiene que esperar alrededor de treinta segundos para que la aplicación se instale en su celular
arf_08886_01192481285	Las tejas rojas del tejado no son de México, son de Texas
arf_00610_01644723213	Está muy cansado
arf_06592_00125032203	Estoy acá con un amigo discutiendo sobre el encuentro de boxeo
arf_03853_01676275582	Por las tardes se escucha música en la Plaza.
arf_09334_01145243830	¿Has visto alguna vez un erizo de mar?
arf_08886_02068307585	¿Qué dicen las noticias de esta mañana?
arf_09799_01992158274	Tengo muchísimas ganas de ver una buena película
arf_07508_01703329344	¿Cuáles son las noticias más recientes de las elecciones Inglesas?
arf_07060_00289255458	Estoy cansado de comer dulces
arf_08784_02109005228	¿Cuánto cuesta este servicio o es gratuito?
arf_08421_01107994360	Ahora podés encontrar pan baguette en todos lados.
arf_04766_01127064265	¿A qué hora querés ir al cine?
arf_09697_01129802617	El viaje por tierra es más largo que el viaje en barco.
arf_05223_00566287049	La bicicleta urbana se ha convertido en uno de los medios de transporte más peligrosos
arf_08784_00307156051	Los higaditos de pollo me encantan
arf_07060_00950199408	Me gusta como habla un norteamericano el español
arf_00295_01708733090	No te entiendo nada
arf_01523_01360624606	Ramón, ¿podrás proponer alguna película para hoy a la noche?
arf_00295_00928515627	Los corazones de pollo son una delicia
arf_07505_01098323449	Las leyendas nórdicas son fascinantes.
arf_03349_02006408310	Los quesos que hacen en esa zona son para chuparse los dedos
arf_03853_01569147671	Aprendí a coser un parche.
arf_00610_00963427221	¿Tenés algunos otros requisitos?
arf_09334_01157154415	Los hongos rojos no son comestibles
arf_03034_00700260972	Los quesos que hacen en esa zona son para chuparse los dedos
arf_07973_01196821044	Estoy teniendo problemas con el auto y un amigo me recomendó un Ford Lobo
arf_07973_00560020448	Hoy decidí dejar de ser enfermera
arf_02121_00205710511	Estoy muy emocionada porque me voy a Tierra del Fuego
arf_00610_01838963639	Mi dolor de espalda empeora cuando me despierto tarde.
arf_08421_01923002200	Quiero celebrar las buenas notas de mi hija.
arf_05223_01106289228	Del subte a la escuela son once minutos
arf_00295_01755168214	Quiero que sea un lugar de calidad y que esté abierto hasta tarde.
arf_08784_01425331513	Tocar el xilófono es mi hobby favorito
arf_00295_00131212768	Quiero saber que tipo de pizza tiene menos calorías.
arf_02484_00281161563	Está muy cansado
arf_09334_00235350601	El campeonato de surf más antiguo del mundo es el de las islas Hawai
arf_06592_01159791898	Por las tardes se escucha música en la Plaza.
arf_06136_01111046623	Ya llegó el taxi, está acá afuera
arf_05223_02029601224	¿Cuántas horas duerme un gato?
arf_03397_01158291487	¿Me podés mandar fotos de él?
arf_06136_01631214682	Me alegro que tus amigos estén bien
arf_07060_00340391491	La mermelada de zarzamora es muy fácil de hacer
arf_05223_01765503254	Voy a ir a correr con mi amiga Pepita y estamos buscando una pista de atletismo
arf_04310_00669688184	Parece que necesitás una crema extra hidratante.
arf_02484_01137362481	Hay que ponernos de acuerdo
arf_04310_01224321387	Tiene una película muy famosa que se llama Viaje al Centro de la Tierra
arf_03397_00896316134	¿Me podés mandar fotos de la casa?
arf_02436_00609014210	¿Cuál es el noticiero más importante?
arf_07049_01903217187	Si llueve hoy no sabré qué hacer.
arf_00610_00333943217	Según la revista Proceso el mejor album del año es el de Maluma.
arf_02436_00472184397	¿Cómo puedo comunicarme con el jefe de gobierno?
arf_07060_01241148925	Apague el motor del auto y ponga el freno de mano
arf_00295_00941631571	Estoy buscando una escuela para estudiar ingeniería industrial
arf_04310_01042568557	La mermelada de zarzamora es muy fácil de hacer
arf_06592_00842316558	¿Me podés mandar fotos de tu gato?
arf_03034_01410661754	La mejor colección de autómatas Rusos está en Madrid
arf_07505_02059724947	¿Cómo se hace la soda?
arf_02121_02002991869	Quisiera recordar los tiempos de mi niñez
arf_04766_01952675878	Señor Fernando ¿en que lo puedo ayudar?
arf_01208_00993564131	Voy a seguir indagando, te aviso en un rato
arf_08784_01363230270	La película me llegó al corazón
arf_05223_00006594166	Del subte al teatro son diez minutos
arf_05223_01372420434	No me acuerdo del nombre de la serie qué empecé a ver ayer
arf_03349_00712667625	La mejor colección de autómatas Rusos está en Madrid
arf_09697_01845919758	No sé si me conviene comprar un auto nuevo o usado.
arf_03853_00366639832	Las tejas rojas del tejado no son de México, son de Texas
arf_02484_00377532753	En aquellos tiempos los griegos imitaban a los dioses del Olimpo y cargaban piedras desde la playa hasta la plaza central
arf_07049_01844863629	La química era un campo vedado a las mujeres hace cincuenta años
arf_07508_01206986999	Quiero darle algo más saludable a los chicos.
arf_03034_02134024654	Hoy se presenta el ballet Cascanueces en el Bellas Artes.
