CHANNEL	UTTRANS_ID	SPEAKER_ID-1	SPEAKER_ID-2	TOPIC
C0	A0001_S003_0_G0001_G0002.wav	G0001	G0002	digital products
C0	A0001_S004_0_G0001_G0002.wav	G0001	G0002	sports
C0	A0001_S005_0_G0001_G0002.wav	G0001	G0002	environment and climate
C0	A0001_S006_0_G0001_G0002.wav	G0001	G0002	education and health
C0	A0002_S001_0_G0003_G0004.wav	G0003	G0004	education and health
C0	A0002_S002_0_G0003_G0004.wav	G0003	G0004	sports
C0	A0002_S003_0_G0003_G0004.wav	G0003	G0004	entertainment
C0	A0002_S005_0_G0003_G0004.wav	G0003	G0004	environment and climate
C0	A0003_S002_0_G0005_G0006.wav	G0005	G0006	sports
C0	A0003_S003_0_G0005_G0006.wav	G0005	G0006	relationships
C0	A0003_S004_0_G0005_G0006.wav	G0005	G0006	environment and climate
C0	A0003_S005_0_G0005_G0006.wav	G0005	G0006	art
C0	A0003_S006_0_G0005_G0006.wav	G0005	G0006	personal characteristics
C0	A0004_S001_0_G0007_G0008.wav	G0007	G0008	entertainment
C0	A0004_S002_0_G0007_G0008.wav	G0007	G0008	career
C0	A0004_S003_0_G0007_G0008.wav	G0007	G0008	personal characteristics
C0	A0004_S006_0_G0007_G0008.wav	G0007	G0008	human science
